Id,MSZoning,LotArea,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,Foundation,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,PavedDrive,CentralAir,KitchenQual,SalePrice
343,RL,6830,Andheri,Duplex,2Story,4,9,1979,1997,CBlock,853.0,1242,215,1457,1,0,5,7,1,2.0,391.0,N,Y,TA,9148207
344,RL,10020,Andheri,Duplex,2Story,9,5,1994,2006,PConc,963.0,1777,144,1921,1,1,4,7,2,,395.0,Y,Y,Ex,15375595
345,RL,7710,Saket,1Fam,1Story,4,7,1989,1998,PConc,774.0,922,364,1286,3,1,4,8,0,2.0,392.0,N,Y,TA,7928660
346,RM,9732,Malad,1Fam,2Story,6,3,2000,2004,CBlock,674.0,1577,59,1636,3,1,5,10,0,1.0,151.0,N,Y,Gd,10663636
347,RL,9146,Koramangala,Apartment,1Story,8,5,1973,1992,BrkTil,356.0,626,162,788,1,1,3,5,0,2.0,348.0,N,Y,TA,9469409
348,RL,5906,Indiranagar,1Fam,SplitLevel,9,3,2013,2024,CBlock,,1153,262,1415,3,0,5,9,2,,345.0,Y,Y,TA,13466078
349,RL,5480,Bandra,Duplex,2Story,4,6,1992,1997,CBlock,1319.0,1737,146,1883,1,1,5,7,1,1.0,204.0,Y,Y,Fa,11691847
350,RL,5557,Bandra,1Fam,1Story,5,3,1971,1974,PConc,616.0,702,381,1083,3,1,3,8,0,3.0,629.0,Y,Y,TA,10823649
351,RM,3565,Indiranagar,1Fam,1Story,5,6,1991,1992,CBlock,873.0,974,465,1439,1,1,3,6,2,0.0,0.0,Y,Y,Gd,12891460
352,RL,7064,Powai,Apartment,1Story,4,4,2020,2024,BrkTil,328.0,571,29,600,1,0,5,8,1,1.0,124.0,N,Y,Ex,12230819
353,RL,2000,Koramangala,1Fam,2Story,8,4,2006,2023,CBlock,637.0,869,46,915,2,1,5,8,1,2.0,356.0,Y,Y,TA,10225329
354,RL,8182,Sector17,Apartment,2Story,7,8,1977,1981,BrkTil,746.0,1033,13,1046,1,0,4,7,1,0.0,70.0,Y,Y,Ex,10302804
355,RL,7143,Viman Nagar,1Fam,2Story,6,8,1976,1979,CBlock,1163.0,1569,81,1650,1,0,3,6,2,1.0,184.0,Y,N,TA,9079113
356,FV,7942,Powai,1Fam,1Story,5,7,1983,1995,CBlock,,995,771,1766,2,1,2,5,2,0.0,0.0,Y,Y,Gd,13798088
357,RL,9114,Viman Nagar,1Fam,1Story,7,5,1972,1990,PConc,756.0,1432,139,1571,2,1,3,7,2,0.0,0.0,Y,Y,Gd,11702086
358,RL,7397,Viman Nagar,Apartment,1Story,4,7,2019,2020,PConc,753.0,992,416,1408,3,0,5,9,0,3.0,628.0,Y,Y,TA,11547842
359,RL,10263,Powai,Apartment,1Story,10,6,1985,1997,PConc,828.0,1403,7,1410,3,0,5,10,2,2.0,393.0,Y,Y,Gd,13954069
360,RM,8243,Saket,Duplex,1Story,7,7,1988,1998,PConc,1042.0,1441,517,1958,1,0,5,7,0,1.0,163.0,Y,Y,TA,9821712
361,RL,5485,Andheri,1Fam,1Story,9,3,2020,2023,PConc,1197.0,1325,381,1706,3,0,5,9,0,2.0,348.0,Y,N,Gd,12426295
362,RL,6524,Viman Nagar,1Fam,1Story,3,6,1987,2006,CBlock,761.0,1096,337,1433,3,1,2,7,0,3.0,618.0,Y,N,Ex,12536094
363,RM,2477,Powai,Duplex,2Story,5,8,2021,2024,BrkTil,1022.0,1484,762,2246,1,0,3,5,2,3.0,613.0,Y,Y,Fa,11639920
364,RM,5195,Powai,1Fam,SplitLevel,4,4,1985,1999,CBlock,1440.0,1383,1191,2574,2,1,2,6,0,1.0,138.0,Y,Y,Gd,14744306
365,RL,6238,Whitefield,Duplex,1Story,10,8,1977,1980,PConc,773.0,926,51,977,2,1,2,6,2,1.0,261.0,Y,Y,TA,10380980
366,RL,8092,Saket,Duplex,2Story,6,5,2002,2010,BrkTil,912.0,1677,184,1861,1,0,5,8,2,3.0,567.0,N,N,Gd,10819373
367,RL,5499,Malad,1Fam,1Story,10,6,2018,2024,CBlock,2027.0,1791,1353,3144,1,1,2,5,0,1.0,88.0,Y,Y,TA,15021708
368,RM,4507,Whitefield,Duplex,2Story,8,6,1981,1999,CBlock,997.0,1545,195,1740,1,0,5,7,0,0.0,76.0,N,Y,Ex,16141861
369,FV,3224,Whitefield,Duplex,SplitLevel,9,3,2022,2024,BrkTil,709.0,1347,310,1657,1,0,5,7,0,0.0,0.0,Y,Y,Gd,14913297
370,RL,5807,Indiranagar,Apartment,1Story,4,5,1980,1985,BrkTil,935.0,1107,465,1572,1,0,5,7,2,3.0,621.0,Y,N,Gd,12882351
371,RM,10901,Andheri,1Fam,1Story,6,4,1974,1979,CBlock,1256.0,1156,689,1845,1,1,2,5,2,2.0,483.0,Y,N,Gd,9386378
372,RL,7542,Powai,Duplex,1Story,8,9,1996,2015,CBlock,1196.0,1838,139,1977,3,1,5,10,0,1.0,149.0,Y,Y,Fa,11698558
373,C,8879,Andheri,1Fam,2Story,8,6,1981,1995,CBlock,,830,147,977,3,0,2,6,0,1.0,223.0,Y,Y,Ex,11262255
374,RM,5199,Koramangala,1Fam,2Story,4,6,1986,2000,PConc,817.0,1227,359,1586,3,1,3,7,1,0.0,58.0,Y,Y,TA,10571630
375,RM,3853,Indiranagar,1Fam,1Story,9,3,1975,1994,CBlock,260.0,482,118,600,2,1,5,9,0,1.0,153.0,N,Y,Gd,10214216
376,RL,4557,Malad,1Fam,1Story,7,7,2002,2010,PConc,1158.0,815,680,1495,1,1,4,7,1,2.0,473.0,Y,Y,Gd,11361150
377,RL,6805,Andheri,1Fam,SplitLevel,7,4,1974,1977,PConc,632.0,846,302,1148,1,1,4,7,1,1.0,129.0,N,Y,Gd,8728093
378,RM,3011,Bandra,1Fam,1Story,8,8,1997,2014,CBlock,1115.0,1055,714,1769,3,1,4,8,2,1.0,195.0,Y,Y,Gd,15625278
379,RL,4986,Viman Nagar,Apartment,1Story,7,5,1983,2000,PConc,552.0,465,306,771,2,0,4,8,2,0.0,0.0,Y,N,Gd,8886693
380,RL,5827,Koramangala,1Fam,SplitLevel,3,6,1974,1978,CBlock,711.0,1115,228,1343,3,1,4,8,1,1.0,234.0,Y,Y,Gd,9786121
381,RL,4358,Saket,1Fam,1Story,8,6,2002,2021,CBlock,1429.0,1990,93,2083,1,1,2,5,1,3.0,551.0,Y,Y,TA,10656861
382,RL,2752,Malad,1Fam,SplitLevel,8,8,2019,2024,BrkTil,572.0,885,376,1261,1,0,3,5,0,3.0,569.0,Y,Y,Ex,11792151
383,RM,7579,Koramangala,1Fam,SplitLevel,6,4,2017,2021,PConc,334.0,390,257,647,3,1,2,7,1,2.0,356.0,Y,Y,Gd,10177832
384,RL,7091,Viman Nagar,1Fam,1Story,7,7,2010,2013,BrkTil,791.0,1424,304,1728,3,1,5,9,0,2.0,339.0,N,Y,Gd,13576119
385,RL,8558,Indiranagar,1Fam,2Story,9,6,1988,1999,BrkTil,946.0,1221,85,1306,1,1,3,5,2,2.0,361.0,Y,Y,TA,12538187
386,RL,4779,Viman Nagar,Apartment,2Story,8,4,1991,1992,CBlock,737.0,1317,190,1507,3,0,3,7,0,2.0,397.0,Y,Y,Ex,14216413
387,C,8519,Whitefield,Duplex,SplitLevel,10,8,1974,1986,CBlock,848.0,1153,82,1235,1,1,3,6,2,0.0,0.0,Y,Y,Fa,9322193
388,FV,10058,Viman Nagar,1Fam,1Story,9,3,1971,1980,PConc,2010.0,1987,600,2587,3,1,3,7,1,1.0,189.0,Y,Y,Ex,15850621
389,RL,7524,Whitefield,1Fam,2Story,3,7,1999,2007,BrkTil,501.0,718,102,820,2,0,4,7,1,0.0,0.0,Y,Y,Gd,11412517
390,RL,5780,Indiranagar,1Fam,SplitLevel,6,5,2016,2024,CBlock,1857.0,1719,1297,3016,1,0,5,8,1,2.0,382.0,Y,Y,Ex,22351913
391,RL,7290,Sector17,1Fam,2Story,4,6,2008,2014,PConc,820.0,946,458,1404,2,1,3,6,0,1.0,120.0,Y,Y,Gd,11387726
392,RL,5684,Whitefield,1Fam,SplitLevel,9,4,1973,1976,PConc,896.0,1174,517,1691,3,0,3,7,2,3.0,565.0,Y,Y,TA,11767839
393,RM,5351,Saket,Duplex,2Story,8,3,2002,2020,CBlock,774.0,991,321,1312,2,0,4,8,2,0.0,0.0,Y,Y,Gd,10652956
394,RL,8366,Viman Nagar,1Fam,SplitLevel,3,5,1982,1991,PConc,827.0,1245,46,1291,3,0,2,6,2,1.0,214.0,Y,Y,Ex,12498741
395,RL,6721,Viman Nagar,Duplex,1Story,5,9,1989,1991,CBlock,958.0,1131,76,1207,2,1,2,6,2,3.0,608.0,N,Y,Ex,12308437
396,RL,9410,Saket,1Fam,2Story,3,4,1976,1994,PConc,1472.0,1077,823,1900,2,1,2,5,2,3.0,538.0,Y,N,Gd,9675746
397,FV,6115,Bandra,1Fam,2Story,3,4,1984,1985,CBlock,665.0,524,370,894,2,0,5,9,0,2.0,421.0,Y,N,Fa,7687276
398,C,6317,Powai,1Fam,1Story,6,5,1992,2011,CBlock,1346.0,1209,573,1782,1,0,2,4,2,3.0,606.0,Y,N,TA,10470433
399,RM,5866,Sector17,1Fam,1Story,4,3,1983,1992,BrkTil,352.0,387,213,600,2,0,3,6,1,3.0,672.0,Y,Y,Gd,8515168
400,RL,4759,Malad,1Fam,2Story,5,9,1992,1993,CBlock,1150.0,1401,335,1736,3,0,4,8,2,2.0,325.0,N,Y,Gd,10935650
401,RL,8628,Whitefield,1Fam,1Story,7,8,1988,1989,CBlock,1534.0,1925,99,2024,3,1,4,9,1,1.0,,N,Y,TA,13090453
402,C,11371,Saket,1Fam,1Story,7,3,1998,2014,BrkTil,536.0,943,19,962,1,0,2,4,0,1.0,,Y,Y,TA,8016931
403,RL,6235,Indiranagar,1Fam,1Story,9,7,1989,2004,CBlock,1521.0,1603,336,1939,1,1,4,6,0,2.0,385.0,N,Y,TA,14872244
404,RM,5639,Whitefield,1Fam,SplitLevel,3,6,1998,2013,CBlock,920.0,1493,132,1625,3,0,3,8,1,0.0,0.0,N,Y,Gd,12426452
405,RL,5509,Powai,1Fam,1Story,10,5,1993,2006,PConc,1536.0,1829,570,2399,2,1,2,6,2,2.0,359.0,Y,Y,Gd,15895209
406,RL,5640,Indiranagar,1Fam,2Story,6,8,1987,1993,CBlock,801.0,708,464,1172,3,1,3,8,0,1.0,,N,N,TA,11062133
407,RL,10299,Koramangala,1Fam,1Story,10,9,1979,1989,PConc,2346.0,2292,715,3007,1,0,5,7,0,0.0,0.0,Y,Y,Gd,16753464
408,C,5563,Viman Nagar,1Fam,2Story,6,5,2010,2010,BrkTil,298.0,466,134,600,1,1,3,5,0,2.0,383.0,Y,N,TA,9054630
409,RL,5829,Koramangala,1Fam,2Story,7,5,1977,1987,PConc,1002.0,1250,185,1435,3,1,3,7,2,1.0,156.0,Y,Y,Ex,12632273
410,RM,4519,Whitefield,Apartment,2Story,9,3,1995,1998,PConc,456.0,457,293,750,2,1,3,7,1,1.0,159.0,Y,Y,TA,10845012
411,C,7587,Powai,Duplex,2Story,9,6,1998,2004,PConc,1281.0,1727,798,2525,2,0,3,7,1,1.0,222.0,N,N,Gd,14201047
412,FV,6865,Sector17,Apartment,2Story,9,7,1979,1993,PConc,1043.0,1001,468,1469,1,1,5,7,2,3.0,580.0,Y,Y,Gd,11127934
413,RL,4725,Whitefield,1Fam,2Story,5,4,1986,2003,PConc,940.0,1483,31,1514,3,1,2,6,0,,611.0,N,Y,TA,12611095
414,RL,5214,Saket,1Fam,1Story,4,4,1971,1982,CBlock,1209.0,1314,507,1821,3,0,3,8,2,0.0,0.0,Y,Y,TA,9693315
415,FV,10065,Andheri,Duplex,2Story,5,5,1975,1991,BrkTil,,1401,196,1597,1,0,2,5,2,0.0,,Y,N,TA,8503091
416,RL,7065,Whitefield,1Fam,1Story,8,6,1974,1974,PConc,772.0,1140,163,1303,3,1,4,9,1,0.0,10.0,Y,Y,Fa,8212355
417,RL,7203,Viman Nagar,1Fam,1Story,8,9,1997,2007,PConc,628.0,614,357,971,1,1,3,5,2,,661.0,N,Y,TA,9721339
418,RL,7211,Viman Nagar,1Fam,SplitLevel,10,9,2010,2010,CBlock,946.0,1323,361,1684,2,0,3,7,2,0.0,0.0,Y,Y,TA,12370699
419,RL,9789,Whitefield,1Fam,SplitLevel,4,8,1974,1988,PConc,857.0,1694,95,1789,2,0,4,8,0,1.0,222.0,Y,Y,TA,11941875
420,RL,4909,Indiranagar,Duplex,1Story,7,3,1987,1996,BrkTil,1527.0,1436,511,1947,3,1,2,7,0,1.0,239.0,Y,Y,Gd,14480793
421,RM,6207,Andheri,1Fam,SplitLevel,4,6,1995,2001,PConc,1545.0,2485,71,2556,2,1,5,9,1,0.0,21.0,Y,N,TA,10887056
422,RM,6662,Saket,1Fam,2Story,6,6,1989,1990,CBlock,416.0,364,236,600,2,0,3,6,0,0.0,84.0,N,Y,Gd,8033289
423,RL,3557,Whitefield,Apartment,1Story,8,3,2010,2019,PConc,883.0,841,725,1566,1,0,4,7,2,,,Y,N,TA,11964698
424,C,5167,Indiranagar,1Fam,1Story,3,9,2018,2021,PConc,1189.0,2075,120,2195,1,1,4,6,2,1.0,208.0,Y,Y,Gd,17105798
425,RL,9093,Viman Nagar,1Fam,SplitLevel,3,9,1996,2007,CBlock,865.0,1419,118,1537,3,1,3,7,2,2.0,379.0,Y,Y,Ex,13618849
426,RL,8520,Viman Nagar,Apartment,2Story,7,9,2018,2024,PConc,338.0,597,3,600,1,0,2,5,1,2.0,376.0,Y,N,Ex,12187755
427,FV,8874,Powai,1Fam,1Story,6,5,1981,1991,BrkTil,589.0,801,153,954,3,1,2,7,0,3.0,674.0,Y,Y,TA,10241617
428,RL,5821,Whitefield,Duplex,2Story,10,6,1976,1983,CBlock,1089.0,1708,56,1764,3,1,3,7,2,3.0,568.0,Y,Y,Gd,14574548
429,RM,6068,Andheri,1Fam,2Story,5,4,1972,1989,CBlock,1045.0,1594,152,1746,1,1,4,7,0,3.0,642.0,N,N,Gd,10561965
430,RL,3423,Bandra,Duplex,2Story,6,3,1979,1989,BrkTil,878.0,1785,151,1936,2,1,3,6,0,1.0,147.0,Y,Y,TA,13377779
431,RM,8863,Andheri,Apartment,2Story,3,9,2003,2013,PConc,723.0,948,261,1209,2,0,5,9,0,0.0,50.0,Y,Y,Ex,12416332
432,RL,9193,Viman Nagar,1Fam,2Story,3,8,1994,2006,CBlock,808.0,1195,534,1729,2,0,5,8,0,0.0,0.0,N,Y,Gd,11535236
433,RL,9167,Viman Nagar,1Fam,2Story,10,9,2004,2006,PConc,507.0,1090,37,1127,2,1,2,5,1,3.0,585.0,Y,Y,Gd,11596437
434,RL,10208,Koramangala,1Fam,SplitLevel,8,9,1985,1996,CBlock,1336.0,1238,491,1729,3,1,5,9,1,1.0,123.0,Y,N,TA,9848152
435,RL,7844,Viman Nagar,1Fam,SplitLevel,6,7,1971,1973,CBlock,1043.0,1251,375,1626,2,1,4,8,1,2.0,,Y,Y,Gd,10561283
436,RL,10113,Saket,Duplex,2Story,6,5,1993,2002,PConc,789.0,859,330,1189,3,1,5,9,2,3.0,565.0,Y,Y,TA,9553585
437,C,6599,Malad,1Fam,SplitLevel,3,3,1979,1995,PConc,1333.0,1861,518,2379,1,0,3,5,2,1.0,287.0,Y,Y,Gd,11589263
438,RL,3465,Whitefield,1Fam,SplitLevel,5,7,2007,2008,CBlock,570.0,549,198,747,1,1,4,7,2,3.0,602.0,N,Y,Gd,11636944
439,C,8721,Andheri,Duplex,1Story,7,7,1991,2007,BrkTil,1001.0,801,728,1529,3,1,2,7,1,1.0,170.0,Y,Y,Ex,13205450
440,RL,3392,Malad,1Fam,SplitLevel,9,8,1995,2010,BrkTil,833.0,1108,70,1178,2,0,2,5,0,1.0,168.0,Y,Y,Fa,8375545
441,RL,7340,Indiranagar,Duplex,1Story,7,6,2012,2013,CBlock,1377.0,1817,700,2517,3,0,5,9,1,3.0,532.0,Y,Y,Gd,17884438
442,FV,8910,Bandra,1Fam,1Story,6,8,2008,2024,PConc,1488.0,1508,391,1899,2,1,2,6,2,,76.0,Y,Y,Gd,16673565
443,FV,7648,Saket,1Fam,2Story,7,6,1996,2001,BrkTil,928.0,726,549,1275,2,0,3,6,2,3.0,662.0,Y,Y,Fa,8091786
444,RL,11556,Andheri,1Fam,2Story,3,6,1998,2007,BrkTil,1082.0,732,728,1460,3,0,4,9,0,0.0,0.0,Y,Y,Gd,10410208
445,C,3068,Malad,Apartment,2Story,3,3,2016,2024,PConc,1186.0,1575,955,2530,3,1,3,8,1,0.0,108.0,Y,Y,Gd,13316832
446,RL,6834,Bandra,1Fam,2Story,10,9,2007,2014,PConc,572.0,959,167,1126,2,1,3,7,0,2.0,399.0,Y,Y,TA,14407283
447,RL,7034,Koramangala,1Fam,1Story,6,3,1989,1989,BrkTil,368.0,394,323,717,3,0,3,7,1,1.0,254.0,N,N,TA,8571773
448,RL,4311,Saket,1Fam,SplitLevel,10,5,1996,2008,BrkTil,887.0,1665,80,1745,2,1,3,7,2,3.0,628.0,Y,Y,TA,10727343
449,FV,4692,Saket,Duplex,1Story,6,6,2010,2018,PConc,,1066,690,1756,3,0,4,8,0,1.0,171.0,N,Y,TA,10351003
450,FV,5309,Koramangala,1Fam,SplitLevel,9,7,1989,1998,BrkTil,797.0,1164,769,1933,1,0,4,6,0,2.0,409.0,Y,Y,TA,12502380
451,RL,4800,Whitefield,Duplex,1Story,9,9,2013,2024,CBlock,833.0,1143,793,1936,2,0,3,7,1,0.0,18.0,N,Y,TA,13644377
452,RM,6784,Koramangala,1Fam,2Story,8,4,1988,1992,BrkTil,1266.0,1259,1226,2485,1,1,3,6,1,3.0,534.0,Y,Y,TA,13445536
453,C,5794,Saket,1Fam,1Story,6,5,1989,2004,PConc,355.0,655,85,740,3,1,2,7,1,1.0,214.0,N,Y,Gd,8855856
454,RL,7635,Saket,1Fam,2Story,5,3,2004,2016,CBlock,491.0,935,63,998,1,0,2,5,2,2.0,,N,Y,Gd,8839712
455,RM,8298,Malad,1Fam,1Story,7,8,2016,2024,PConc,1388.0,1558,373,1931,3,0,4,8,1,0.0,0.0,N,Y,TA,13487235
456,RL,8163,Viman Nagar,Apartment,1Story,6,5,1971,1988,BrkTil,654.0,622,425,1047,2,1,2,5,2,0.0,0.0,N,Y,TA,8806907
457,RL,6179,Bandra,1Fam,1Story,4,5,1999,2009,PConc,350.0,559,312,871,3,0,4,9,1,1.0,144.0,Y,Y,Gd,12841679
458,RM,7568,Koramangala,Duplex,2Story,8,9,2022,2024,CBlock,1447.0,1868,664,2532,3,0,4,8,1,0.0,0.0,Y,Y,Ex,18095198
459,RL,9070,Bandra,1Fam,SplitLevel,4,5,2003,2018,PConc,,771,19,790,2,1,5,9,2,2.0,379.0,Y,Y,Gd,13011154
460,RL,7891,Koramangala,Duplex,1Story,3,5,1991,1992,CBlock,634.0,888,536,1424,3,1,4,8,1,0.0,78.0,Y,N,Fa,8214456
461,RL,10717,Indiranagar,1Fam,2Story,9,4,1972,1973,PConc,1052.0,1359,211,1570,2,1,2,5,2,3.0,584.0,N,Y,Ex,15249328
462,RM,8964,Saket,Apartment,2Story,7,8,1975,1986,PConc,1534.0,1622,632,2254,3,1,5,9,2,3.0,573.0,Y,Y,Gd,11131895
463,RL,10436,Viman Nagar,1Fam,1Story,6,8,1984,1991,PConc,457.0,431,234,665,2,0,2,6,1,1.0,195.0,Y,Y,TA,9102753
464,RL,2015,Malad,Duplex,1Story,4,8,1996,2004,PConc,1249.0,1315,492,1807,1,1,4,6,1,2.0,314.0,Y,Y,TA,10549372
465,RM,7193,Viman Nagar,1Fam,1Story,7,6,1979,1990,CBlock,461.0,618,536,1154,3,1,4,8,0,0.0,0.0,Y,Y,TA,10083133
466,RL,6352,Viman Nagar,1Fam,1Story,3,7,1978,1986,PConc,1495.0,1720,193,1913,3,0,3,7,1,0.0,0.0,Y,N,Fa,9088998
467,C,6750,Viman Nagar,1Fam,1Story,9,8,2002,2011,PConc,831.0,712,434,1146,3,0,4,8,0,0.0,16.0,Y,Y,TA,11367087
468,RL,5390,Bandra,Duplex,1Story,5,5,2001,2002,PConc,1817.0,2058,328,2386,2,0,5,9,1,3.0,599.0,Y,Y,TA,15738484
469,RL,7792,Koramangala,1Fam,1Story,8,5,2017,2024,CBlock,466.0,613,536,1149,3,1,4,8,2,2.0,443.0,Y,Y,Gd,12974193
470,RL,3383,Sector17,Duplex,2Story,7,8,1975,1994,PConc,464.0,586,14,600,2,0,3,7,2,0.0,0.0,Y,Y,Gd,8285281
471,RL,7806,Indiranagar,1Fam,2Story,7,9,2010,2016,PConc,872.0,718,487,1205,3,1,4,9,0,1.0,189.0,Y,Y,TA,12399681
472,FV,5456,Andheri,Apartment,2Story,5,8,2005,2006,CBlock,1079.0,1382,87,1469,1,0,4,6,1,2.0,320.0,N,N,Gd,10859536
473,RL,5999,Viman Nagar,1Fam,2Story,7,5,1971,1971,CBlock,936.0,1937,204,2141,3,1,4,8,0,2.0,413.0,Y,Y,TA,10255514
474,RM,7877,Whitefield,1Fam,1Story,3,6,1998,2016,CBlock,674.0,954,16,970,1,0,3,6,1,0.0,0.0,Y,Y,Gd,11846516
475,RL,7157,Bandra,1Fam,1Story,3,3,1973,1976,PConc,,724,256,980,2,1,2,6,1,3.0,587.0,Y,Y,Gd,11777009
476,RM,9107,Malad,1Fam,1Story,5,3,1970,1971,PConc,1396.0,1796,284,2080,1,1,4,7,2,2.0,410.0,Y,Y,Gd,9921868
477,FV,5060,Andheri,1Fam,2Story,8,8,1988,2001,CBlock,572.0,625,287,912,3,0,5,9,0,1.0,180.0,Y,Y,Gd,10454765
478,RL,6838,Sector17,1Fam,SplitLevel,6,4,1995,1996,BrkTil,,894,616,1510,3,0,3,7,2,2.0,286.0,Y,Y,Ex,11968446
479,RL,8777,Whitefield,Apartment,1Story,4,8,1994,2008,CBlock,877.0,1096,424,1520,2,1,5,9,2,3.0,683.0,Y,Y,Ex,14717649
480,FV,7722,Sector17,Duplex,1Story,6,9,1979,1990,PConc,1092.0,995,713,1708,3,0,4,9,2,1.0,175.0,Y,Y,TA,10703032
481,RM,7851,Andheri,1Fam,2Story,7,8,2022,2024,CBlock,723.0,1214,11,1225,3,1,3,8,0,3.0,519.0,N,Y,Fa,8520741
482,RL,9216,Viman Nagar,1Fam,2Story,4,3,1984,2003,BrkTil,878.0,622,514,1136,2,1,4,7,1,0.0,38.0,Y,Y,Ex,12679716
483,RL,6187,Whitefield,1Fam,1Story,10,5,1991,1997,CBlock,760.0,1404,363,1767,2,1,5,8,1,2.0,439.0,Y,Y,Gd,15223212
484,RL,5766,Sector17,1Fam,1Story,5,8,2020,2024,BrkTil,691.0,936,216,1152,1,0,3,6,0,1.0,184.0,N,Y,Gd,11309725
485,C,8151,Malad,1Fam,SplitLevel,5,5,2017,2024,PConc,620.0,707,213,920,2,1,2,5,1,3.0,676.0,Y,Y,Gd,10484787
486,RM,6701,Koramangala,Duplex,1Story,8,5,1990,2003,CBlock,1586.0,1839,374,2213,3,1,2,7,0,0.0,0.0,Y,Y,TA,12423026
487,FV,9244,Saket,Apartment,2Story,4,4,1991,1995,CBlock,,1029,815,1844,2,1,2,5,0,1.0,208.0,Y,N,Gd,8658782
488,RL,7739,Koramangala,1Fam,SplitLevel,3,5,2005,2022,CBlock,1895.0,1930,553,2483,3,1,4,9,1,2.0,425.0,Y,Y,Gd,14878732
489,RL,5753,Andheri,1Fam,SplitLevel,4,3,2003,2016,CBlock,1546.0,1281,710,1991,1,0,3,5,2,2.0,475.0,N,Y,TA,9810235
490,RL,7676,Bandra,1Fam,1Story,7,6,1999,2000,CBlock,410.0,936,29,965,2,0,5,8,0,3.0,502.0,Y,Y,Gd,13170170
491,RL,5194,Saket,Apartment,1Story,3,6,1994,2005,CBlock,924.0,1451,197,1648,3,1,5,9,0,1.0,314.0,Y,Y,Gd,9966825
492,RL,8893,Indiranagar,1Fam,1Story,9,7,2014,2019,BrkTil,447.0,1076,16,1092,2,0,4,7,0,0.0,58.0,N,Y,TA,12517626
493,RL,4205,Malad,1Fam,2Story,9,9,1997,2000,PConc,411.0,401,373,774,2,0,4,7,0,0.0,22.0,Y,Y,TA,8116718
494,C,9444,Indiranagar,Apartment,2Story,10,8,1970,1982,CBlock,845.0,884,492,1376,2,1,5,8,1,0.0,0.0,Y,Y,TA,11855300
495,RL,7641,Whitefield,1Fam,SplitLevel,9,9,2018,2021,BrkTil,1597.0,1249,841,2090,2,0,3,6,1,3.0,555.0,N,Y,TA,15064243
496,RL,6670,Saket,1Fam,2Story,5,3,2014,2024,PConc,1282.0,878,859,1737,1,0,4,7,0,0.0,14.0,Y,Y,TA,9510594
497,FV,8526,Indiranagar,1Fam,2Story,4,5,1973,1988,PConc,407.0,561,343,904,3,0,3,8,2,1.0,224.0,Y,Y,Gd,11454910
498,FV,8022,Indiranagar,Duplex,1Story,9,6,1976,1979,PConc,593.0,1139,219,1358,2,0,5,9,1,3.0,618.0,Y,Y,Gd,12638006
499,RL,9660,Sector17,1Fam,1Story,6,9,2018,2018,PConc,971.0,940,588,1528,3,0,3,7,2,2.0,407.0,N,Y,TA,10179667
500,FV,9642,Koramangala,Apartment,1Story,8,3,1978,1990,BrkTil,462.0,569,186,755,1,0,2,4,2,3.0,621.0,Y,Y,TA,9763581
501,RL,7704,Sector17,Apartment,1Story,6,6,2005,2008,PConc,,1846,110,1956,3,1,5,9,0,3.0,490.0,Y,Y,Gd,12298672
502,RL,5256,Saket,Duplex,2Story,9,5,1988,2007,CBlock,1128.0,1257,228,1485,3,0,2,7,1,3.0,586.0,Y,Y,Gd,11123554
503,C,5916,Saket,1Fam,2Story,10,9,1970,1987,PConc,696.0,630,274,904,1,1,5,8,0,1.0,130.0,Y,Y,TA,7590164
504,RM,6856,Andheri,Duplex,1Story,8,6,1979,1984,PConc,491.0,601,275,876,2,1,2,6,0,2.0,397.0,Y,N,Gd,7502932
505,C,9163,Sector17,1Fam,1Story,7,8,2005,2007,BrkTil,1625.0,1564,586,2150,3,1,3,8,2,2.0,465.0,N,Y,Ex,15493196
506,C,6087,Powai,1Fam,1Story,6,8,1978,1990,CBlock,779.0,829,580,1409,3,0,5,10,2,3.0,554.0,Y,Y,Gd,12453047
507,RL,6254,Koramangala,1Fam,1Story,10,7,2014,2024,PConc,1524.0,1793,402,2195,2,0,5,9,2,3.0,564.0,Y,N,Ex,17582196
508,RL,10696,Saket,1Fam,SplitLevel,4,7,2015,2019,BrkTil,1408.0,1627,759,2386,2,1,2,5,0,3.0,557.0,Y,Y,Gd,13103458
509,RL,6791,Andheri,Duplex,SplitLevel,4,6,2011,2014,PConc,947.0,1955,156,2111,3,1,3,8,0,1.0,164.0,Y,Y,Gd,13298691
510,RL,5730,Sector17,Apartment,1Story,6,3,2001,2008,PConc,1027.0,1170,163,1333,1,1,5,7,0,1.0,227.0,N,N,TA,9471703
511,RL,8553,Koramangala,Duplex,2Story,9,8,2001,2019,CBlock,348.0,483,117,600,2,0,4,8,0,,39.0,Y,Y,Gd,10575343
512,RL,6887,Sector17,Duplex,1Story,10,3,1975,1988,PConc,1218.0,1197,559,1756,2,0,2,6,0,2.0,473.0,Y,Y,TA,10369967
513,C,4220,Indiranagar,Apartment,1Story,4,3,2017,2023,CBlock,1446.0,1600,1045,2645,1,0,5,7,0,0.0,0.0,N,Y,TA,16596263
